torch.compile disabled in this fork runtime path.
Using PyTorch SDPA attention backend.
GPU: NVIDIA RTX 4000 Ada Generation Laptop GPU
GPU VRAM: 12.0 GB
GPU CC: 8.9
GPU profile: ada-10-15gb
Consumer matrix support: yes
TF32: enabled
AMP dtype: torch.bfloat16
Vocab size: 8,192
Dataset: tinystories
Muon compute dtype: torch.bfloat16 (matching AMP dtype)
Using cached autotune candidate: batch_size=8, checkpointing=off.
Attention backend: sdpa
torch.compile: disabled
Trying train candidate: batch_size=8, activation_checkpointing=disabled
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 1, 'n_embd': 384, 'window_pattern': 'SSSL', 'attention_backend': 'sdpa', 'use_activation_checkpointing': False, 'compute_dtype': torch.bfloat16}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 3,145,728
  lm_head                 : 3,145,728
  transformer_matrices    : 9,437,280
  scalars                 : 12
  total                   : 18,874,476
Estimated FLOPs per token: 1.132468e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.012215 | lrm: 0.00 | dt: 852ms | tok/sec: 38,460 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011978 | lrm: 0.00 | dt: 470ms | tok/sec: 69,670 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011896 | lrm: 0.00 | dt: 473ms | tok/sec: 69,285 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011858 | lrm: 0.00 | dt: 470ms | tok/sec: 69,746 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011905 | lrm: 0.00 | dt: 470ms | tok/sec: 69,694 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011911 | lrm: 0.00 | dt: 472ms | tok/sec: 69,408 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011890 | lrm: 0.00 | dt: 471ms | tok/sec: 69,558 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011872 | lrm: 0.00 | dt: 472ms | tok/sec: 69,399 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011864 | lrm: 0.00 | dt: 474ms | tok/sec: 69,147 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011866 | lrm: 0.00 | dt: 471ms | tok/sec: 69,501 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011882 | lrm: 0.00 | dt: 469ms | tok/sec: 69,902 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011860 | lrm: 0.00 | dt: 473ms | tok/sec: 69,348 | mfu: n/a | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 9.011873 | lrm: 0.08 | dt: 470ms | tok/sec: 69,722 | mfu: n/a | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.004846 | lrm: 0.16 | dt: 472ms | tok/sec: 69,359 | mfu: n/a | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 8.982428 | lrm: 0.24 | dt: 475ms | tok/sec: 68,991 | mfu: n/a | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 8.924780 | lrm: 0.31 | dt: 472ms | tok/sec: 69,434 | mfu: n/a | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 8.808901 | lrm: 0.39 | dt: 472ms | tok/sec: 69,457 | mfu: n/a | epoch: 1 | remaining: 297s    
step 00017 (0.9%) | loss: 8.601466 | lrm: 0.47 | dt: 471ms | tok/sec: 69,567 | mfu: n/a | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 8.314607 | lrm: 0.55 | dt: 470ms | tok/sec: 69,687 | mfu: n/a | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 7.992035 | lrm: 0.63 | dt: 471ms | tok/sec: 69,544 | mfu: n/a | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 7.637087 | lrm: 0.71 | dt: 471ms | tok/sec: 69,607 | mfu: n/a | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 7.270720 | lrm: 0.79 | dt: 471ms | tok/sec: 69,632 | mfu: n/a | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 6.937937 | lrm: 0.86 | dt: 470ms | tok/sec: 69,772 | mfu: n/a | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 6.648412 | lrm: 0.94 | dt: 471ms | tok/sec: 69,635 | mfu: n/a | epoch: 1 | remaining: 294s    
step 00024 (2.0%) | loss: 6.380771 | lrm: 1.00 | dt: 471ms | tok/sec: 69,544 | mfu: n/a | epoch: 1 | remaining: 293s    
step 00025 (2.2%) | loss: 6.154943 | lrm: 1.00 | dt: 471ms | tok/sec: 69,547 | mfu: n/a | epoch: 1 | remaining: 293s    
step 00026 (2.4%) | loss: 5.953571 | lrm: 1.00 | dt: 470ms | tok/sec: 69,750 | mfu: n/a | epoch: 1 | remaining: 292s    
step 00027 (2.5%) | loss: 5.750514 | lrm: 1.00 | dt: 474ms | tok/sec: 69,085 | mfu: n/a | epoch: 1 | remaining: 292s    
step 00028 (2.7%) | loss: 5.571432 | lrm: 1.00 | dt: 477ms | tok/sec: 68,688 | mfu: n/a | epoch: 1 | remaining: 292s    
step 00029 (2.8%) | loss: 5.400704 | lrm: 1.00 | dt: 473ms | tok/sec: 69,280 | mfu: n/a | epoch: 1 | remaining: 291s    
step 00030 (3.0%) | loss: 5.241208 | lrm: 1.00 | dt: 476ms | tok/sec: 68,880 | mfu: n/a | epoch: 1 | remaining: 291s    
step 00031 (3.1%) | loss: 5.118097 | lrm: 1.00 | dt: 472ms | tok/sec: 69,412 | mfu: n/a | epoch: 1 | remaining: 290s    
step 00032 (3.3%) | loss: 5.002144 | lrm: 1.00 | dt: 476ms | tok/sec: 68,898 | mfu: n/a | epoch: 1 | remaining: 290s    
step 00033 (3.5%) | loss: 4.880279 | lrm: 1.00 | dt: 470ms | tok/sec: 69,702 | mfu: n/a | epoch: 1 | remaining: 289s    
step 00034 (3.6%) | loss: 4.778451 | lrm: 1.00 | dt: 472ms | tok/sec: 69,383 | mfu: n/a | epoch: 1 | remaining: 289s    
step 00035 (3.8%) | loss: 4.689600 | lrm: 1.00 | dt: 472ms | tok/sec: 69,360 | mfu: n/a | epoch: 1 | remaining: 288s    
step 00036 (3.9%) | loss: 4.599809 | lrm: 1.00 | dt: 472ms | tok/sec: 69,461 | mfu: n/a | epoch: 1 | remaining: 288s    
step 00037 (4.1%) | loss: 4.519394 | lrm: 1.00 | dt: 474ms | tok/sec: 69,080 | mfu: n/a | epoch: 1 | remaining: 287s    
step 00038 (4.2%) | loss: 4.447707 | lrm: 1.00 | dt: 472ms | tok/sec: 69,452 | mfu: n/a | epoch: 1 | remaining: 287s    
step 00039 (4.4%) | loss: 4.373086 | lrm: 1.00 | dt: 474ms | tok/sec: 69,202 | mfu: n/a | epoch: 1 | remaining: 286s    
step 00040 (4.6%) | loss: 4.310359 | lrm: 1.00 | dt: 477ms | tok/sec: 68,749 | mfu: n/a | epoch: 1 | remaining: 286s    
step 00041 (4.7%) | loss: 4.253331 | lrm: 1.00 | dt: 475ms | tok/sec: 68,941 | mfu: n/a | epoch: 1 | remaining: 285s    
step 00042 (4.9%) | loss: 4.186352 | lrm: 1.00 | dt: 474ms | tok/sec: 69,065 | mfu: n/a | epoch: 1 | remaining: 285s    
step 00043 (5.0%) | loss: 4.128101 | lrm: 1.00 | dt: 475ms | tok/sec: 69,033 | mfu: n/a | epoch: 1 | remaining: 284s    
step 00044 (5.2%) | loss: 4.082396 | lrm: 1.00 | dt: 474ms | tok/sec: 69,082 | mfu: n/a | epoch: 1 | remaining: 284s    
step 00045 (5.4%) | loss: 4.028454 | lrm: 1.00 | dt: 475ms | tok/sec: 69,015 | mfu: n/a | epoch: 1 | remaining: 283s    
step 00046 (5.5%) | loss: 3.990788 | lrm: 1.00 | dt: 473ms | tok/sec: 69,212 | mfu: n/a | epoch: 1 | remaining: 283s    
step 00047 (5.7%) | loss: 3.951434 | lrm: 1.00 | dt: 477ms | tok/sec: 68,737 | mfu: n/a | epoch: 1 | remaining: 283s    
step 00048 (5.8%) | loss: 3.894069 | lrm: 1.00 | dt: 472ms | tok/sec: 69,366 | mfu: n/a | epoch: 1 | remaining: 282s    
step 00049 (6.0%) | loss: 3.860192 | lrm: 1.00 | dt: 478ms | tok/sec: 68,579 | mfu: n/a | epoch: 1 | remaining: 282s    
step 00050 (6.1%) | loss: 3.796721 | lrm: 1.00 | dt: 472ms | tok/sec: 69,392 | mfu: n/a | epoch: 1 | remaining: 281s    
step 00051 (6.3%) | loss: 3.761752 | lrm: 1.00 | dt: 473ms | tok/sec: 69,301 | mfu: n/a | epoch: 1 | remaining: 281s    
step 00052 (6.5%) | loss: 3.726090 | lrm: 1.00 | dt: 473ms | tok/sec: 69,208 | mfu: n/a | epoch: 1 | remaining: 280s    
step 00053 (6.6%) | loss: 3.672351 | lrm: 1.00 | dt: 474ms | tok/sec: 69,198 | mfu: n/a | epoch: 1 | remaining: 280s    
step 00054 (6.8%) | loss: 3.646855 | lrm: 1.00 | dt: 471ms | tok/sec: 69,522 | mfu: n/a | epoch: 1 | remaining: 279s    
step 00055 (6.9%) | loss: 3.605564 | lrm: 1.00 | dt: 476ms | tok/sec: 68,834 | mfu: n/a | epoch: 1 | remaining: 279s    
step 00056 (7.1%) | loss: 3.551557 | lrm: 1.00 | dt: 476ms | tok/sec: 68,814 | mfu: n/a | epoch: 1 | remaining: 278s    
step 00057 (7.3%) | loss: 3.525865 | lrm: 1.00 | dt: 472ms | tok/sec: 69,366 | mfu: n/a | epoch: 1 | remaining: 278s    
step 00058 (7.4%) | loss: 3.458343 | lrm: 1.00 | dt: 473ms | tok/sec: 69,316 | mfu: n/a | epoch: 1 | remaining: 277s    
step 00059 (7.6%) | loss: 3.423745 | lrm: 1.00 | dt: 471ms | tok/sec: 69,504 | mfu: n/a | epoch: 1 | remaining: 277s    
step 00060 (7.7%) | loss: 3.389582 | lrm: 1.00 | dt: 471ms | tok/sec: 69,499 | mfu: n/a | epoch: 1 | remaining: 276s    
step 00061 (7.9%) | loss: 3.352982 | lrm: 1.00 | dt: 470ms | tok/sec: 69,717 | mfu: n/a | epoch: 1 | remaining: 276s    
step 00062 (8.0%) | loss: 3.320503 | lrm: 1.00 | dt: 472ms | tok/sec: 69,447 | mfu: n/a | epoch: 1 | remaining: 275s    
step 00063 (8.2%) | loss: 3.288852 | lrm: 1.00 | dt: 472ms | tok/sec: 69,439 | mfu: n/a | epoch: 1 | remaining: 275s    
step 00064 (8.4%) | loss: 3.240208 | lrm: 1.00 | dt: 472ms | tok/sec: 69,357 | mfu: n/a | epoch: 1 | remaining: 274s    
